Attribute Name,AVP Code,Section defined,Value Type,MUST,MAY,SHOULD NOT,MUST NOT  
@vendor,13712,,,,,,  
@standard,ARINC 839-2014,,,,,,  
#=,,,,,,,  
# ARINC 839-2014 MAGIC Diameter AVPs,,,,,,,  
#=,,,,,,,  
#,,,,,,,  
# Basic AVPs (10001-10053),,,,,,,  
#,,,,,,,  
Client-Password,10001,1.1.1.2.1,UTF8String,"M,V",P,,  
REQ-Status-Info,10002,1.1.1.3.1,Unsigned32,"M,V",P,,  
Status-Type,10003,1.1.1.3.2,Unsigned32,"M,V",P,,  
DLM-Name,10004,1.1.1.4.1,UTF8String,"M,V",P,,  
DLM-Available,10005,1.1.1.4.2,Enumerated,"M,V",P,,  
DLM-Max-Bandwidth,10006,1.1.1.4.3,Float32,"M,V",P,,  
DLM-Allocated-Bandwidth,10007,1.1.1.4.4,Float32,"M,V",P,,  
DLM-Max-Return-Bandwidth,10008,1.1.1.4.5,Float32,"M,V",P,,  
DLM-Allocated-Return-Bandwidth,10009,1.1.1.4.6,Float32,"M,V",P,,  
DLM-Max-Links,10010,1.1.1.4.7,Unsigned32,"M,V",P,,  
DLM-Allocated-Links,10011,1.1.1.4.8,Unsigned32,"M,V",P,,  
Link-Number,10012,1.1.1.5.1,Unsigned32,"M,V",P,,  
Link-Available,10013,1.1.1.5.3,Enumerated,"M,V",P,,  
Link-Connection-Status,10014,1.1.1.5.4,Enumerated,"M,V",P,,  
Link-Login-Status,10015,1.1.1.5.5,Enumerated,"M,V",P,,  
Link-Max-Bandwidth,10016,1.1.1.5.6,Float32,"M,V",P,,  
Link-Max-Return-Bandwidth,10017,1.1.1.5.7,Float32,"M,V",P,,  
Link-Alloc-Bandwidth,10018,1.1.1.5.8,Float32,"M,V",P,,  
Link-Alloc-Return-Bandwidth,10019,1.1.1.5.9,Float32,"M,V",P,,  
Link-Error-String,10020,1.1.1.5.10,UTF8String,"M,V",P,,  
